"Mppcv";"nMppnm";"fMppnm";"aMppnm";"ATC";"DDD";"DDU";"DPP";"ATCNM_E";"ATCNM_N";"ATCNM_F";"OffMrkt";"GGRCM";"HYR_";"CreaDatm";"Dbl";"Route"
"1128719";"1 alpha leo amp iv 10x 1 mcg/0,5ml";"1 alpha leo amp iv 10x 1 mcg/0,5ml";"ALPHA-1 IV AMP 10X0,5ML 1MCG/0,5ML";"A11CC03";"0.001";"mg";;"alfacalcidol";"alfacalcidol";"alfacalcidol";;"true";"NBKA";;;
"0676569";"1 alpha leo caps 30x 0,25 mcg";"1 alpha leo caps 30x 0,25 mcg";"ALPHA-1 CAPS 30 X 0,25 MCG";"A11CC03";"0.001";"mg";;"alfacalcidol";"alfacalcidol";"alfacalcidol";;"true";"NBKA";;;
"0018531";"1 alpha leo caps 50x 1 mcg";"1 alpha leo caps 50x 1 mcg";"ALPHA-1 CAPS 50 X 1 MCG";"A11CC03";"0.001";"mg";;"alfacalcidol";"alfacalcidol";"alfacalcidol";;"true";"NBKA";;;
"1064328";"1 alpha leo dr 10ml 2 mcg/ml";"1 alpha leo gttes 10ml 2 mcg/ml";"ALPHA-1 GUTT 10 ML 2 UG/ML";"A11CC03";"0.001";"mg";;"alfacalcidol";"alfacalcidol";"alfacalcidol";;"true";"NBKA";;;
"3113834";"a vogel prostaforce caps 30x 320mg";"a vogel prostaforce caps 30x 320mg";;"G04CX02";;;;"sabalis serrulatae fructus";"serenoa repens";"serenoa repens";;"true";"GBDA";;;
"1750132";"aacidexam amp 5mg/1ml";"aacidexam amp 5mg/1ml";"AACIDEXAM VIAL 1 X 5 MG/1 ML";"H02AB02";"1.500";"mg";;"dexamethasone";"dexamethason";"dexaméthasone";;"true";"EDDA";;;
"0100123";"aacidexam amp inj  3 x 5 mg/1 ml";"aacidexam amp inj  3 x 5 mg/1 ml";"AACIDEXAM AMP INJ 3 X 5 MG/1 ML";"H02AB02";"1.500";"mg";;"dexamethasone";"dexamethason";"dexaméthasone";;"false";;;;
"0016022";"aacifemine comp  90 x 2 mg";"aacifemine comp  90 x 2 mg";"AACIFEMINE COMP 90 X 2 MG";"G03CA04";"2.000";"mg";;"estriol";"estriol";"estriol";;"false";;;;
"0860924";"aacifemine creme vag 15g 1mg/ g";"aacifemine creme vag 15g 1mg/ g";"AACIFEMINE CREME VAG.TUBE+APPL. 15G";"G03CA04";"0.200";"mg";;"estriol";"estriol";"estriol";;"true";"FCACA";;;
"0860932";"aacifemine ovulen 15x 0,5mg";"aacifemine ovules 15x 0,5mg";"AACIFEMINE OVUL. 15";"G03CA04";"0.200";"mg";;"estriol";"estriol";"estriol";;"true";"FCACA";;;
"0016188";"aacifemine tab 30x 2mg";"aacifemine compr 30x 2mg";"AACIFEMINE COMP 30 X 2 MG";"G03CA04";"2.000";"mg";;"estriol";"estriol";"estriol";;"true";"FCAAA";;;
"0016220";"abamal boules dentaires";"abamal boules dentaires";"ABAMAL TANDBOLLEN";"A01AD11";"2.000";"ed";;"various";"diverse middelen";"varia";;"false";;;;
"0605980";"abbokinase fl inj lyoph 250000u/5ml";"abbokinase fl inj lyoph 250000u/5ml";"ABBOKINASE FL INJ LYOPH 250000U/5ML";"B01AD04";"3000000.000";"ME";;"urokinase";"urokinase";"urokinase";;"false";;;;
"1482181";"abelcet flac inf 10x 100mg/20ml";"abelcet flac perf 10x 100mg/20ml";"ABELCET IV INF 10 GL 100MG/20ML";"J02AA01";"35.000";"mg";;"amphotericin b";"amfotericine b";"amphotéricine";;"true";"KBAA";;;
"0100214";"abidec  gutt.10 ml";"abidec  gutt.10 ml";"ABIDEC GUTT.10 ML";"A11BA01";"1.000";"ed";;"?";"multivitaminen";"multivitamines";;"false";;;;
"3154887";"abilify flac depot 400mg";"abilify flac depot 400mg";"ABILIFY MAINTENA 1 FL 400 MG+ 1 FL 2 ML";"N05AX12";"15.000";"mg";;"aripiprazole";"aripiprazol";"aripiprazole";;"true";"JBDA";;;
"2567576";"abilify flac im 9,75mg/1,3ml";"abilify flac im 9,75mg/1,3ml";"ABILIFY 7,5MG/ML INJ.OPL FL 1 9,75 MG(1,3 ML)";"N05AX12";"15.000";"mg";;"aripiprazole";"aripiprazol";"aripiprazole";;"true";"JBDA";;;
"3060001";"abilify oploss or 150ml 1mg/ml";"abilify sol or 150ml 1mg/ml";"ABILIFY 1,0MG/ML DRANK 150 ML";"N05AX12";"15.000";"mg";;"aripiprazole";"aripiprazol";"aripiprazole";;"true";"JBDA";;;
"2237220";"abilify tab 28x 10mg";"abilify compr 28x 10mg";"ABILIFY 10 MG COMP 28 X 10 MG";"N05AX12";"15.000";"mg";;"aripiprazole";"aripiprazol";"aripiprazole";;"true";"JBDA";;;
"2237238";"abilify tab 28x 15mg";"abilify compr 28x 15mg";"ABILIFY 15 MG COMP 28 X 15 MG";"N05AX12";"15.000";"mg";;"aripiprazole";"aripiprazol";"aripiprazole";;"true";"JBDA";;;
"2237246";"abilify tab 28x 30mg";"abilify compr 28x 30mg";"ABILIFY 30 MG COMP 28 X 30 MG";"N05AX12";"15.000";"mg";;"aripiprazole";"aripiprazol";"aripiprazole";;"true";"JBDA";;;
"0016238";"abluine pulv. vag";"abluine pulv. vag";"ABLUINE PULV. VAG";"G01AX30";"5.000";"g";;"?";"combinaties";"associations";;"false";;;;
"2760023";"abstral subling tab 10x 100 mcg";"abstral compr subling 10x 100 mcg";"ABSTRAL 100MCG SUBLINGUALE TABL 10";"N02AB03";"0.600";"mg";;"fentanyl";"fentanyl";"fentanyl";;"true";"HCAB";;;
"2760049";"abstral subling tab 10x 200 mcg";"abstral compr subling 10x 200 mcg";"ABSTRAL 200MCG SUBLINGUALE TABL 10";"N02AB03";"0.600";"mg";;"fentanyl";"fentanyl";"fentanyl";;"true";"HCAB";;;
"2760064";"abstral subling tab 10x 300 mcg";"abstral compr subling 10x 300 mcg";"ABSTRAL 300MCG SUBLINGUALE TABL 10";"N02AB03";"0.600";"mg";;"fentanyl";"fentanyl";"fentanyl";;"true";"HCAB";;;
"2760080";"abstral subling tab 10x 400 mcg";"abstral compr subling 10x 400 mcg";"ABSTRAL 400MCG SUBLINGUALE TABL 10";"N02AB03";"0.600";"mg";;"fentanyl";"fentanyl";"fentanyl";;"true";"HCAB";;;
"2764710";"abstral subling tab 10x 600 mcg";"abstral compr subling 10x 600 mcg";"ABSTRAL 600MCG SUBLINGUALE TABL 10";"N02AB03";"0.600";"mg";;"fentanyl";"fentanyl";"fentanyl";;"true";"HCAB";;;
"2764694";"abstral subling tab 10x 800 mcg";"abstral compr subling 10x 800 mcg";"ABSTRAL 800MCG SUBLINGUALE TABL 10";"N02AB03";"0.600";"mg";;"fentanyl";"fentanyl";"fentanyl";;"true";"HCAB";;;
"1434471";"abutophar comp  30 x 400 mg";"abutophar comp  30 x 400 mg";"ACEBUTOLOL TEVA COMP 30 X 400 MG";"C07AB04";"400.000";"mg";;"acebutolol";"acebutolol";"acébutolol";;"false";;;;
"0100222";"acaren drag. 20 x 100.000 i.u.";"acaren drag. 20 x 100.000 i.u.";"ACAREN DRAG. 20 X 100.000 I.U.";"A11CA01";"50000.000";"E";;"retinol (vit a)";"retinol (vit. a)";"retinol (vit. a)";;"false";;;;
"1275460";"acatar 15/50 200ml sir";"acatar 15/50 200ml sir";"ACATAR NF SIR 200 ML";"R05FA02";"45.000";"ml";;"opium derivatives and expectorants";"opiumderivaten met expectorantia";"dérivés de l'opium et expectorants";;"true";"DBCA";;;
"1275478";"acatar nf supp 2 x 5 x 1 g";"acatar nf supp 2 x 5 x 1 g";"ACATAR NF SUPP 2 X 5 X 1 G";"R05FA02";"3.000";"ed";;"opium derivatives and expectorants";"opiumderivaten met expectorantia";"dérivés de l'opium et expectorants";;"false";;;;
"1275486";"acatar nf supp 2 x 5 x 2 g";"acatar nf supp 2 x 5 x 2 g";"ACATAR NF SUPP 2 X 5 X 2 G";"R05FA02";"3.000";"ed";;"opium derivatives and expectorants";"opiumderivaten met expectorantia";"dérivés de l'opium et expectorants";;"false";;;;
